source,target,external_category_id,raw_full_path,decision_status,semantic_category_code,garment_type_code,comparison_family_code,sleeve_length_class,pants_length_class,leggings_length_class,skirt_length_class,body_length_class,app_category_code,app_detail_code,mapping_status,comparison_eligible,decision_reason
"musinsa","UNKNOWN","002022","아우터 > 후드 집업","confirmed","tops","zip_hoodie","zip_hoodie","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","jumper","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002023","아우터 > 플리스/뽀글이","confirmed","outerwear","fleece_jacket","fleece_jacket","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","fleece","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002024","아우터 > 겨울 더블 코트","confirmed","outerwear","coat","coat","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","coat","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002025","아우터 > 무스탕/퍼","confirmed","outerwear","mouton","mouton","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","mouton","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002027","아우터 > 경량 패딩/패딩 베스트","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing review_required decision"
"musinsa","UNKNOWN","002027001","아우터 > 경량 패딩/패딩 베스트 > 경량 패딩","confirmed","outerwear","puffer_jacket","puffer_jacket","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","light_padding","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","002027002","아우터 > 경량 패딩/패딩 베스트 > 패딩 베스트","confirmed","outerwear","puffer_vest","puffer_vest","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","padded_vest","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","003","바지","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing review_required decision"
"musinsa","UNKNOWN","003002","바지 > 데님 팬츠","confirmed","bottoms","denim_pants","standard_pants","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","bottoms","jeans","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","003004","바지 > 트레이닝/조거 팬츠","confirmed","bottoms","sweat_jogger_pants","standard_pants","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","bottoms","sweat_jogger","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","003005","바지 > 레깅스","confirmed","leggings","leggings","leggings","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","leggings","leggings","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","003006","바지 > 기타 하의","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","003007","바지 > 코튼 팬츠","confirmed","bottoms","chino_cotton_pants","standard_pants","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","bottoms","chino_cotton","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","003008","바지 > 슈트 팬츠/슬랙스","confirmed","bottoms","slacks_trousers","standard_pants","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","bottoms","slacks_trousers","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","003009","바지 > 숏 팬츠","confirmed","","other_standard_pants","standard_pants","not_applicable","short_length","not_applicable","not_applicable","not_applicable","bottoms","short_pants","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","003010","바지 > 점프 슈트/오버올","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","004","가방","navigation_only","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","navigation_only","false","navigation grouping/non-leaf"
"musinsa","UNKNOWN","004001","가방 > 백팩","rejected","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","rejected","false","path denotes non-garment merchandise"
"musinsa","UNKNOWN","004002","가방 > 메신저/크로스 백","rejected","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","rejected","false","path denotes non-garment merchandise"
"musinsa","UNKNOWN","004003","가방 > 숄더백","rejected","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","rejected","false","path denotes non-garment merchandise"
"musinsa","UNKNOWN","004005","가방 > 클러치 백","rejected","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","rejected","false","path denotes non-garment merchandise"
"musinsa","UNKNOWN","004006","가방 > 보스턴/더플백","rejected","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","rejected","false","path denotes non-garment merchandise"
"musinsa","UNKNOWN","004007","가방 > 웨이스트 백","rejected","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","rejected","false","path denotes non-garment merchandise"
"musinsa","UNKNOWN","004008","가방 > 브리프 케이스","confirmed","underwear","briefs","underwear_bottom","unknown","unknown","not_applicable","not_applicable","unknown","underwear","","transform_required","true","bounded official product sample is semantically consistent"
"musinsa","UNKNOWN","004009","가방 > 캐리어","rejected","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","rejected","false","path denotes non-garment merchandise"
"musinsa","UNKNOWN","004012","가방 > 가방 소품","rejected","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","rejected","false","path denotes non-garment merchandise"
"musinsa","UNKNOWN","004013","가방 > 파우치 백","rejected","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","rejected","false","path denotes non-garment merchandise"
"musinsa","UNKNOWN","004014","가방 > 에코백","rejected","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","rejected","false","path denotes non-garment merchandise"
"musinsa","UNKNOWN","004015","가방 > 토트백","rejected","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","rejected","false","path denotes non-garment merchandise"
"musinsa","UNKNOWN","004016","가방 > 지갑/머니클립","rejected","","","","unknown","unknown","not_applicable","not_applicable","unknown","","","rejected","false","path denotes non-garment merchandise"
"musinsa","UNKNOWN","017","스포츠/레저","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing review_required decision"
"musinsa","UNKNOWN","017016","스포츠/레저 > 상의","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing confirmed decision"
"musinsa","UNKNOWN","017016001","스포츠/레저 > 상의 > 니트/스웨터","confirmed","tops","knit_sweater","knit_sweater","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","tops","knit_sweater","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017016002","스포츠/레저 > 상의 > 긴소매 티셔츠","confirmed","tops","tshirt","tshirt","long_sleeve","not_applicable","not_applicable","not_applicable","not_applicable","tops","long_sleeve","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017016003","스포츠/레저 > 상의 > 나시/민소매 티셔츠","confirmed","tops","tank_top","tank_top","sleeveless","not_applicable","not_applicable","not_applicable","not_applicable","tops","sleeveless","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017016004","스포츠/레저 > 상의 > 맨투맨/스웨트","confirmed","tops","sweatshirt","sweatshirt","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","tops","sweatshirt","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017016005","스포츠/레저 > 상의 > 반소매 티셔츠","confirmed","tops","tshirt","tshirt","short_sleeve","not_applicable","not_applicable","not_applicable","not_applicable","tops","short_sleeve","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017016006","스포츠/레저 > 상의 > 피케/카라 티셔츠","confirmed","tops","polo_shirt","polo_shirt","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","tops","polo_shirt","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017016007","스포츠/레저 > 상의 > 후드 티셔츠","confirmed","tops","hoodie","hoodie","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","tops","hoodie","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017016008","스포츠/레저 > 상의 > 기타상의","confirmed","","sports_top","sports_top","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","tops","","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017016009","스포츠/레저 > 상의 > 브라탑","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017016010","스포츠/레저 > 상의 > 언더레이어","confirmed","","base_layer_top","base_layer_top","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","tops","base_layer_top","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017016011","스포츠/레저 > 상의 > 유니폼","confirmed","","sports_top","sports_top","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","tops","sports_top","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017017","스포츠/레저 > 스커트","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing confirmed decision"
"musinsa","UNKNOWN","017017002","스포츠/레저 > 스커트 > 미니스커트","confirmed","skirts","skirt","skirt","not_applicable","not_applicable","not_applicable","not_applicable","short_body","skirts","skirt","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017017003","스포츠/레저 > 스커트 > 미디스커트","confirmed","skirts","skirt","skirt","not_applicable","not_applicable","not_applicable","not_applicable","medium_body","skirts","skirt","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017018","스포츠/레저 > 아우터","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing review_required decision"
"musinsa","UNKNOWN","017018001","스포츠/레저 > 아우터 > 베스트","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","017018002","스포츠/레저 > 아우터 > 기타 점퍼/재킷","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","017018003","스포츠/레저 > 아우터 > 나일론/코치 재킷","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","017018006","스포츠/레저 > 아우터 > 스타디움 재킷","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","017018007","스포츠/레저 > 아우터 > 아노락 재킷","confirmed","outerwear","anorak","anorak","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","anorak","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017018008","스포츠/레저 > 아우터 > 트레이닝 재킷","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","017018009","스포츠/레저 > 아우터 > 플리스","confirmed","outerwear","fleece_jacket","fleece_jacket","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","fleece","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017018010","스포츠/레저 > 아우터 > 카디건","confirmed","tops","cardigan","cardigan","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","cardigan","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017018011","스포츠/레저 > 아우터 > 레인코트","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","017018013","스포츠/레저 > 아우터 > 롱 패딩/롱 헤비 아우터","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","017018014","스포츠/레저 > 아우터 > 숏 패딩/숏 헤비 아우터","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","017018015","스포츠/레저 > 아우터 > 하프 패딩/하프 헤비 아우터","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","017018016","스포츠/레저 > 아우터 > 후드 집업","confirmed","tops","zip_hoodie","zip_hoodie","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","jumper","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017018017","스포츠/레저 > 아우터 > 유니폼","review_required","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","review_required","false","preserved existing review_required decision"
"musinsa","UNKNOWN","017018018","스포츠/레저 > 아우터 > 패딩 베스트","confirmed","outerwear","puffer_vest","puffer_vest","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","padded_vest","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017018019","스포츠/레저 > 아우터 > 블레이저","confirmed","outerwear","blazer","blazer","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","outerwear","blazer","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017019","스포츠/레저 > 원피스","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017019002","스포츠/레저 > 원피스 > 미니 원피스","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017019003","스포츠/레저 > 원피스 > 미디 원피스","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017020","스포츠/레저 > 하의","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing confirmed decision"
"musinsa","UNKNOWN","017020001","스포츠/레저 > 하의 > 기타 바지","confirmed","","sports_bottom","sports_bottom","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","bottoms","sports_bottom","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017020002","스포츠/레저 > 하의 > 숏팬츠","confirmed","","other_standard_pants","standard_pants","not_applicable","short_length","not_applicable","not_applicable","not_applicable","bottoms","short_pants","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017020003","스포츠/레저 > 하의 > 조거 팬츠","confirmed","bottoms","sweat_jogger_pants","standard_pants","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","bottoms","sweat_jogger","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017020004","스포츠/레저 > 하의 > 트레이닝 팬츠","confirmed","","sports_bottom","sports_bottom","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","bottoms","sweat_jogger","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017020005","스포츠/레저 > 하의 > 점프 슈트","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017020006","스포츠/레저 > 하의 > 유니폼","confirmed","","sports_bottom","sports_bottom","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","bottoms","sports_bottom","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017020007","스포츠/레저 > 하의 > 레깅스","confirmed","leggings","leggings","leggings","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","leggings","leggings","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017020010","스포츠/레저 > 하의 > 언더레이어","confirmed","","sports_bottom","sports_bottom","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","bottoms","sports_bottom","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017020011","스포츠/레저 > 하의 > 오버롤","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017020012","스포츠/레저 > 하의 > 일자 팬츠","confirmed","","sports_bottom","sports_bottom","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","bottoms","sports_bottom","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017021","스포츠/레저 > 상하의세트","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017022","스포츠/레저 > 수영복/비치웨어","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017022001","스포츠/레저 > 수영복/비치웨어 > 다이빙슈트","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017022002","스포츠/레저 > 수영복/비치웨어 > 래시가드 하의","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017022003","스포츠/레저 > 수영복/비치웨어 > 래시가드 상의","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017022004","스포츠/레저 > 수영복/비치웨어 > 래시가드 세트","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017022005","스포츠/레저 > 수영복/비치웨어 > 워터 레깅스","confirmed","leggings","leggings","leggings","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","leggings","other_leggings","direct","true","preserved existing confirmed decision"
"musinsa","UNKNOWN","017022006","스포츠/레저 > 수영복/비치웨어 > 반신수영복","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017022007","스포츠/레저 > 수영복/비치웨어 > 비키니","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017022008","스포츠/레저 > 수영복/비치웨어 > 사각수영복","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017022009","스포츠/레저 > 수영복/비치웨어 > 삼각수영복","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017022010","스포츠/레저 > 수영복/비치웨어 > 원피스수영복","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017022011","스포츠/레저 > 수영복/비치웨어 > 전신수영복","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017022012","스포츠/레저 > 수영복/비치웨어 > 브라탑","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023","스포츠/레저 > 신발","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023001","스포츠/레저 > 신발 > 골프화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023002","스포츠/레저 > 신발 > 라이프스타일화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023003","스포츠/레저 > 신발 > 농구화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023004","스포츠/레저 > 신발 > 등산/트레킹화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023005","스포츠/레저 > 신발 > 러닝화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023006","스포츠/레저 > 신발 > 배드민턴화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023007","스포츠/레저 > 신발 > 보드화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023008","스포츠/레저 > 신발 > 야구화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023009","스포츠/레저 > 신발 > 자전거화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023010","스포츠/레저 > 신발 > 축구화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023011","스포츠/레저 > 신발 > 테니스화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023012","스포츠/레저 > 신발 > 피트니스화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017023013","스포츠/레저 > 신발 > 워터스포츠화","rejected","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","rejected","false","preserved existing rejected decision"
"musinsa","UNKNOWN","017024","스포츠/레저 > 기구/용품/장비","navigation_only","","","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","","","navigation_only","false","preserved existing rejected decision"
