uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/men/bottoms/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/54577a660cf4698216fe.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/women/airism/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/0cf558c2750d6d7ebee7.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/men/airism/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/092f7a1cce29bd55d611.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/women/innerwear/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/5d926effc2a2b523611d.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/men/linen/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/d9b16e33b33ac7a40b92.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/men/sport-utility-wear/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/53e09b782cb7171db294.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/women/lounge-and-underwear-collection/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/9ddace5195df40bcc0cc.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/men/sport-utility-wear/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/c05273478e91bd06f459.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/women/lounge-and-underwear-collection/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/7522c051832b63af624c.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/women/lounge-and-underwear-collection/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/5652799750e052654168.html,0
uniqlo,,,unresolved,invalid_category_url,public category request returned HTTP 404; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/baby/newborn/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/dc40e22ffadd68d8ec5c.html,0
uniqlo,,,unresolved,invalid_category_url,public category request returned HTTP 404; raw_href=/kr/ko/men/accessories/1; resolved_url=https://www.uniqlo.com/kr/ko/men/accessories/1; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/f98171b4e19e68656d66.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/women/special-collaboration/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/499d87bc240163d24c24.html,0
