provider,source_category_key,category_path,current_group_codes,proposed_single_group_code,decision_status,confidence,reason,product_count,sample_product_names
uniqlo,uniqlo:57892:57963:58021:58306,WOMEN > 이너웨어 > 브라탑 > 코튼,F|A,F,PROPOSED,HIGH,원본 API 계층이 이너웨어·브라탑·파자마/홈웨어,6,립브라탑|립브라탑(링거)|립크롭브라탑(링거)|레이서백브라탑|레이서백브라탑(스트라이프)
uniqlo,uniqlo:57892:57963:58018:58280,WOMEN > 이너웨어 > 에어리즘 > 브라탑,F|A,F,PROPOSED,HIGH,원본 API 계층이 이너웨어·브라탑·파자마/홈웨어,1,AIRism브라캐미솔
uniqlo,uniqlo:57892:57963:58018:58278,WOMEN > 이너웨어 > 에어리즘 > 속바지,C|F,F,PROPOSED,HIGH,보온 이너 레깅스/속바지는 이너웨어,1,AIRism속바지
uniqlo,uniqlo:57892:57963:58018:58275,WOMEN > 이너웨어 > 에어리즘 > 캐미솔,F|A,F,PROPOSED,HIGH,원본 API 계층이 이너웨어·브라탑·파자마/홈웨어,1,AIRism캐미솔
uniqlo,uniqlo:57892:57963:58018:58274,WOMEN > 이너웨어 > 에어리즘 > 탱크탑,F|A,F,PROPOSED,HIGH,원본 API 계층이 이너웨어·브라탑·파자마/홈웨어,1,AIRism탱크탑
uniqlo,uniqlo:57892:57963:141497:141498,WOMEN > 이너웨어 > 코튼 이너탑 > 캐미솔,F|A,F,PROPOSED,HIGH,원본 API 계층이 이너웨어·브라탑·파자마/홈웨어,5,소프트모달캐미솔(스트라이프)|소프트모달캐미솔(플라워)|소프트모달캐미솔(하트)|포인텔캐미솔|립레이스V넥캐미솔
uniqlo,uniqlo:57892:57963:141497:141499,WOMEN > 이너웨어 > 코튼 이너탑 > 탱크탑,F|A,F,PROPOSED,HIGH,원본 API 계층이 이너웨어·브라탑·파자마/홈웨어,6,포인텔탱크탑(프린트)|소프트모달탱크탑(레이스포인텔)|립탱크탑(플라워)|크롭스퀘어넥탱크탑|헨리넥탱크탑
uniqlo,uniqlo:57892:57959:57996:117295,WOMEN > 티셔츠 & 스웨트셔츠 & 후리스 > 브라탑 > 디자인,F|A,F,PROPOSED,HIGH,원본 API 계층이 이너웨어·브라탑·파자마/홈웨어,1,워셔블니트브라탑
uniqlo,uniqlo:57892:57959:57996:117300,WOMEN > 티셔츠 & 스웨트셔츠 & 후리스 > 브라탑 > 코튼,F|A,F,PROPOSED,HIGH,원본 API 계층이 이너웨어·브라탑·파자마/홈웨어,1,립브라탑(컬러블록)
uniqlo,uniqlo:57892:57964:58026:112811,WOMEN > 파자마 & 홈웨어 > 라운지 팬츠 > 리넨 블렌드,C|F,C,PROPOSED,HIGH,라운지/이지/조거 팬츠도 비교 실측 축은 팬츠,1,리넨블렌드이지팬츠(스트라이프)
uniqlo,uniqlo:57892:57964:58026:58336,WOMEN > 파자마 & 홈웨어 > 라운지 팬츠 > 쇼트 팬츠,C|F,C,PROPOSED,HIGH,라운지/이지/조거 팬츠도 비교 실측 축은 팬츠,5,코튼이지쇼트팬츠(데님)|코튼이지쇼트팬츠(스트라이프)|코튼복서이지쇼트팬츠(프린트)|코튼복서이지쇼트팬츠(체크)|코튼복서이지쇼트팬츠(깅엄)
uniqlo,uniqlo:57892:57964:58026:94359,WOMEN > 파자마 & 홈웨어 > 라운지 팬츠 > 앵클 팬츠,C|F,C,PROPOSED,HIGH,라운지/이지/조거 팬츠도 비교 실측 축은 팬츠,2,코튼릴랙스앵클팬츠|코튼릴랙스앵클팬츠(데님)
uniqlo,uniqlo:57892:57964:58026:94358,WOMEN > 파자마 & 홈웨어 > 라운지 팬츠 > 워셔블 니트 립 팬츠,C|F,C,PROPOSED,HIGH,라운지/이지/조거 팬츠도 비교 실측 축은 팬츠,1,워셔블니트팬츠(스무드)
uniqlo,uniqlo:57892:57964:58026:58335,WOMEN > 파자마 & 홈웨어 > 라운지 팬츠 > 이지 팬츠,C|F,C,PROPOSED,HIGH,라운지/이지/조거 팬츠도 비교 실측 축은 팬츠,4,립와이드이지팬츠|코튼볼륨이지팬츠|립와이드이지팬츠(스트라이프)|립와이드이지팬츠(플라워)
uniqlo,uniqlo:57892:57964:58025:141118,WOMEN > 파자마 & 홈웨어 > 파자마 & 홈웨어 상의 > GU,F|A,F,PROPOSED,HIGH,원본 API 계층이 이너웨어·브라탑·파자마/홈웨어,1,GU코튼컬러라운지세트
uniqlo,uniqlo:57892:57964:58025:58332,WOMEN > 파자마 & 홈웨어 > 파자마 & 홈웨어 상의 > 긴팔 파자마,F|A,F,PROPOSED,HIGH,원본 API 계층이 이너웨어·브라탑·파자마/홈웨어,3,새틴파자마(프린트)|코튼파자마(깅엄체크)|코튼파자마(플라워)
uniqlo,uniqlo:57892:57964:58025:74427,WOMEN > 파자마 & 홈웨어 > 파자마 & 홈웨어 상의 > 반팔 파자마,F|A,F,PROPOSED,HIGH,원본 API 계층이 이너웨어·브라탑·파자마/홈웨어,1,AIRism코튼파자마
zara,zara:3:131:606,KID > 유아용 가디건 > KDA KNITWEAR,A|B,B,PROPOSED,HIGH,자라 family가 가디건이고 표본도 니트 재킷,1,프루트오브더룸™ 배색 니트 재킷
zara,zara:3:131:564,KID > 유아용 가디건 > MINI KNITWEAR,A|B,B,PROPOSED,HIGH,자라 family가 가디건이고 표본도 니트 재킷,2,링크 크로스오버 니트 재킷|링크 크로스 니트 재킷
uniqlo,uniqlo:57892:57964:58025:58334,WOMEN > 파자마 & 홈웨어 > 파자마 & 홈웨어 상의 > 그 외,F|A,,PENDING_USER,CONFLICT,동일 API 카테고리에 룸슈즈(X)와 립V넥가디건(B)이 혼재,2,룸슈즈|립V넥가디건
