provider,category_key,category_path,group_codes,group_labels,disposition,product_count,audience_codes,sample_product_ids,sample_product_names,mapping_basis,notes,source_ids,source_names
musinsa,musinsa:002002,아우터 > 레더/라이더스 재킷,B,아우터,COMPARABLE,16,M|W,7148725|7158652|7158755|7158759|7158762,WAXED COWHIDE BUDDY HARRINGTON JACKET _ BLACK|Zip Tucked Faux Leather Jacket_BLACK|레더 A-2 자켓 BLACK|레더 A-2 자켓 DARK BROWN|VEGETABLE LAMBSKIN 리얼 레더 자켓 BLACK,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002002""}","{""depth1"": ""아우터"", ""depth2"": ""레더/라이더스 재킷""}"
musinsa,musinsa:002003,아우터 > 슈트/블레이저 재킷,B,아우터,COMPARABLE,10,M|W,7155179|7158155|7161031|7179836|7190065,STAND COLLAR TWEED STRIPED JACKET - BLACK|Mix Structured Blazer - Black|[Office] 올시즌 데일리 수트 셋업_2 COLOR|[SET] Wool-Blend Comfort Jacket&Semi-Wide Pants (Charcoal) 0TPA6F105G2|라운드넥 심플 트위드 자켓 (FTDCJK013),무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002003""}","{""depth1"": ""아우터"", ""depth2"": ""슈트/블레이저 재킷""}"
musinsa,musinsa:002006,아우터 > 나일론/코치 재킷,B,아우터,COMPARABLE,6,M|W,7144199|7144985|7184126|7234336|7241968,어반 본딩 플리스 스태그 코치 자켓 블랙|시티 커뮤터 체크 윈드 자켓 (체크 블루)|[MEN] 4포켓 미드 워커 점퍼 _네이비_91M6313213|우먼스 셔링 윈드 자켓 라이트베이지 SDFJWCQ52LBE|카치온 워싱 워크 자켓 (브라운),무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002006""}","{""depth1"": ""아우터"", ""depth2"": ""나일론/코치 재킷""}"
musinsa,musinsa:002007,아우터 > 겨울 싱글 코트,B,아우터,COMPARABLE,2,W,7183668|7183782,핸드메이드 울 블렌드 후디 하프 코트 _다크 브라운_9176411981|코듀로이 카라 패딩 맥코트 _다크카키_9176413986,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002007""}","{""depth1"": ""아우터"", ""depth2"": ""겨울 싱글 코트""}"
musinsa,musinsa:002008,아우터 > 환절기 코트,B,아우터,COMPARABLE,4,W,7156467|7186204|7227224|7235256,"미디 트렌치 코트 RMJTG49RT1|Double Button Corduroy Coat, Burgundy|우먼즈 더블 버튼 포켓 라운드카라 세미 크롭 하프 코트 긴팔 자켓_2COLOR|SR_Lapel pure trench coat",무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002008""}","{""depth1"": ""아우터"", ""depth2"": ""환절기 코트""}"
musinsa,musinsa:002012,아우터 > 숏패딩/헤비 아우터,B,아우터,COMPARABLE,3,M|W,7166322|7181344|7187470,NJ1DS69K 웨이브 다운 자켓 (RDS) DUNE|03 에센셜 그래픽 후드 패딩 - BLACK|NJ3NS55C 남성 알토르 온 자켓 METAL GRAY,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002012""}","{""depth1"": ""아우터"", ""depth2"": ""숏패딩/헤비 아우터""}"
musinsa,musinsa:002014,아우터 > 사파리/헌팅 재킷,B,아우터,COMPARABLE,25,M|W,7156745|7161039|7167566|7169471|7171083,M-65 필드 자켓 차콜 그레이|VTG 워시드 정글 퍼티그 필드 자켓_2 COLOR|레인지 자켓 (카본 네이비)|Low pocket cotton jacket - khaki|콘트라스트 카라 자켓- 네이비,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002014""}","{""depth1"": ""아우터"", ""depth2"": ""사파리/헌팅 재킷""}"
musinsa,musinsa:002015,아우터 > 기타 아우터,B,아우터,COMPARABLE,20,M|W,7148116|7155595|7156194|7159838|7160518,코듀로이 헤링턴 자켓 틸 그린|SST 트랙 탑 KQ6332|스쿱넥 칼라리스 자켓 RMJKG49NT2|스트링 패디드 코치 자켓_블랙|Denver Washed High Neck Jacket (Washed Beige),무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002015""}","{""depth1"": ""아우터"", ""depth2"": ""기타 아우터""}"
musinsa,musinsa:002017,아우터 > 트러커 재킷,B,아우터,COMPARABLE,8,M|W,7148128|7153791|7156753|7167882|7171682,링사 C 로고 데님 후드 자켓 인디고|여성 라이더 집업 데님 자켓 블랙|[레귤러 크롭] 덕 캔버스 타입1 트러커 블랙|PURE COLLAR WASHED DENIM JACKET - BLUE|TYPE 3 DENIM JACKET [BLACK],무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002017""}","{""depth1"": ""아우터"", ""depth2"": ""트러커 재킷""}"
musinsa,musinsa:002018,아우터 > 트레이닝 재킷,B,아우터,COMPARABLE,8,M|W,7160006|7162570|7167582|7174159|7180309,이든 져지 트랙 자켓|여성 보케 플라워 2.0 수베니어 자켓_K256AWU502BKX|AECA TRACK JACKET-BLACK|하치 루즈 트랙탑 [IVORY]|C.L WAFFLE JERSEY - BLACK,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002018""}","{""depth1"": ""아우터"", ""depth2"": ""트레이닝 재킷""}"
musinsa,musinsa:002019,아우터 > 아노락 재킷,B,아우터,COMPARABLE,2,M|W,7180382|7192820,T.L HEAVY WAFFLE HALF ZIP-UP - CHARCOAL|W ANORAK - BROWN (P263WJP106),무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002019""}","{""depth1"": ""아우터"", ""depth2"": ""아노락 재킷""}"
musinsa,musinsa:002020,아우터 > 카디건,B|A,아우터|일반 상의,COMPARABLE,35,M|W,7156233|7156244|7156274|7158055|7158748,캐시미어 블렌드 에센셜 라운드넥 가디건 그레이|캐시미어 블렌드 에센셜 라운드넥 가디건 블루|에스티 크롭가디건 (3color)|울캐시아가일브이넥가디건 J1KT621E|LUNALITE 16GG 가디건 DARK NAVY,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002020""}","{""depth1"": ""아우터"", ""depth2"": ""카디건""}"
musinsa,musinsa:002021,아우터 > 베스트,B|A,아우터|일반 상의,COMPARABLE,3,W,7192714|7236208|7238161,스트라이프 니트 베스트 _블랙_9106152100|SALT VEST|SHADOW VEST,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002021""}","{""depth1"": ""아우터"", ""depth2"": ""베스트""}"
musinsa,musinsa:002022,아우터 > 후드 집업,B|A,아우터|일반 상의,COMPARABLE,26,M|W,7144898|7145314|7145391|7146650|7147529,타이다이 워싱 코튼 하이넥 멀티 지퍼 디테일 후드집업 자켓 [베이지]|Tiered Zip Hoodie [Gray]|에센셜 골지 후드 집업(FS263FT01F002234)|8.8oz 페이드 워시 후드 집업|라인 워크 자수 후드집업 블랙,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002022""}","{""depth1"": ""아우터"", ""depth2"": ""후드 집업""}"
musinsa,musinsa:002023,아우터 > 플리스/뽀글이,B,아우터,COMPARABLE,3,M|W,7144342|7180257|7215436,DEV:12 플리스 후드 하프집업_블랙|BOUND SHELL FLEECE - CHARCOAL|[2nd] Fleece Cloud Jacket Oatmeal,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002023""}","{""depth1"": ""아우터"", ""depth2"": ""플리스/뽀글이""}"
musinsa,musinsa:002027001,아우터 > 경량 패딩/패딩 베스트 > 경량 패딩,B,아우터,COMPARABLE,22,M|W,7143064|7143066|7144452|7145740|7147576,우먼 리버 경량 다운 자켓 차콜|우먼 리버 경량 다운 자켓 라이트그레이|여성 경량 후드 커브패딩 NY (Black)|에어리 후드 경량 패딩 자켓 - (5컬러)|수페리어 다운 라운드 넥 자켓 남 2 DARK BEIGE JBWJWMDJ117,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""002"", ""depth2"": ""002027"", ""depth3"": ""002027001""}","{""depth1"": ""아우터"", ""depth2"": ""경량 패딩/패딩 베스트"", ""depth3"": ""경량 패딩""}"
musinsa,musinsa:017016002,스포츠/레저 > 상의 > 긴소매 티셔츠,A,일반 상의,COMPARABLE,2,M,7181456|7189061,NT7TS52B 남성 오버펙 스트라이프 긴팔 티셔츠 DARK BROWN|SYMBOL B COMPRESSION LONG SLEEVE [BLACK],무신사 categoryDepth의 상의 계층,,"{""depth1"": ""017"", ""depth2"": ""017016"", ""depth3"": ""017016002""}","{""depth1"": ""스포츠/레저"", ""depth2"": ""상의"", ""depth3"": ""긴소매 티셔츠""}"
musinsa,musinsa:017016003,스포츠/레저 > 상의 > 민소매 티셔츠,A,일반 상의,COMPARABLE,4,M|W,7184974|7185363|7189049|7219750,복싱 레드 뎁트 슬리브리스 [BLACK]|러닝 레드 뎁트 슬리브리스 [BLACK]|SYMBOL B TANK SLEEVELESS [BLACK]|LACE LAYERED HALTER NECK SLEEVELESS MOCHA,무신사 categoryDepth의 상의 계층,,"{""depth1"": ""017"", ""depth2"": ""017016"", ""depth3"": ""017016003""}","{""depth1"": ""스포츠/레저"", ""depth2"": ""상의"", ""depth3"": ""민소매 티셔츠""}"
musinsa,musinsa:017016004,스포츠/레저 > 상의 > 맨투맨/스웨트,A,일반 상의,COMPARABLE,1,M,7215619,피그먼트 다잉 레터링 맨투맨 (S26FUFHT64) Choco Brown,무신사 categoryDepth의 상의 계층,,"{""depth1"": ""017"", ""depth2"": ""017016"", ""depth3"": ""017016004""}","{""depth1"": ""스포츠/레저"", ""depth2"": ""상의"", ""depth3"": ""맨투맨/스웨트""}"
musinsa,musinsa:017016005,스포츠/레저 > 상의 > 반소매 티셔츠,A,일반 상의,COMPARABLE,3,M|W,7157696|7168237|7200625,네이쳐 델타피크 배색형 베이직핏 반팔 티셔츠 L/GREY N263UTS220|UA 헤비웨이트 그레이디언트6013624-410|퀵 드라이 숏슬리브 폴로 셔츠 스트레이트 헴 *로고  PICN,무신사 categoryDepth의 상의 계층,,"{""depth1"": ""017"", ""depth2"": ""017016"", ""depth3"": ""017016005""}","{""depth1"": ""스포츠/레저"", ""depth2"": ""상의"", ""depth3"": ""반소매 티셔츠""}"
musinsa,musinsa:017018002,스포츠/레저 > 아우터 > 기타 점퍼/재킷,B,아우터,COMPARABLE,5,M|W,7156454|7156547|7156550|7224859|7231663,멘즈 마이크로 퍼프 후디 / 84031R7|클랜드 여성 자켓 (S26FWDJK91) Rusty Pink|클랜드 여성 자켓 (S26FWDJK91) Charcoal|AL-PACA PARKA QUILTED 자켓 W_Black|오리지널스 트레포일 터틀 넥 점퍼 KR5425,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""017"", ""depth2"": ""017018"", ""depth3"": ""017018002""}","{""depth1"": ""스포츠/레저"", ""depth2"": ""아우터"", ""depth3"": ""기타 점퍼/재킷""}"
musinsa,musinsa:017018003,스포츠/레저 > 아우터 > 나일론/코치 재킷,B,아우터,COMPARABLE,3,M|W,7181558|7182852|7213666,MEN MULTI POCKET ANORAK_DG|7M50603 남자 남성 알테라 2LAYER 윈드스토퍼 방풍 자켓|[WOMEN] 플레이 숏 후디드 웨더 자켓 - 블랙 HFWA101AJKBLK,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""017"", ""depth2"": ""017018"", ""depth3"": ""017018003""}","{""depth1"": ""스포츠/레저"", ""depth2"": ""아우터"", ""depth3"": ""나일론/코치 재킷""}"
musinsa,musinsa:017018009,스포츠/레저 > 아우터 > 플리스,B,아우터,COMPARABLE,1,M|W,7166253,스위스 스키 후드형 본딩 플리스 자켓 블랙 SR423SKTO1,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""017"", ""depth2"": ""017018"", ""depth3"": ""017018009""}","{""depth1"": ""스포츠/레저"", ""depth2"": ""아우터"", ""depth3"": ""플리스""}"
musinsa,musinsa:017018013,스포츠/레저 > 아우터 > 롱 패딩/롱 헤비 아우터,B,아우터,COMPARABLE,3,M|W,7147362|7237514|7237516,La Reine (라헨느) 여성 캐시미어 블렌드 W/S 롱 다운 자켓_Black|BOOST_카르파(CARPA) 롱 다운_Black|BOOST_카르파(CARPA) 롱 다운_Cinder,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""017"", ""depth2"": ""017018"", ""depth3"": ""017018013""}","{""depth1"": ""스포츠/레저"", ""depth2"": ""아우터"", ""depth3"": ""롱 패딩/롱 헤비 아우터""}"
musinsa,musinsa:017018014,스포츠/레저 > 아우터 > 숏 패딩/숏 헤비 아우터,B,아우터,COMPARABLE,2,W,7147520|7223696,MOMENTUM (모멘텀) 여성 경량 패딩 자켓_Light Brown|중량 스텐넥 덕 다운 자켓 우먼 YELLOW,무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""017"", ""depth2"": ""017018"", ""depth3"": ""017018014""}","{""depth1"": ""스포츠/레저"", ""depth2"": ""아우터"", ""depth3"": ""숏 패딩/숏 헤비 아우터""}"
musinsa,musinsa:017018016,스포츠/레저 > 아우터 > 후드 집업,B|A,아우터|일반 상의,COMPARABLE,2,M,7154211|7166226,남성 아틱 크레스트 II 후드 풀집 자켓|NBNAG4A013 / UNI NB 데님 후드 포켓 자켓 (L/INDIGO),무신사 categoryDepth의 아우터 계층,,"{""depth1"": ""017"", ""depth2"": ""017018"", ""depth3"": ""017018016""}","{""depth1"": ""스포츠/레저"", ""depth2"": ""아우터"", ""depth3"": ""후드 집업""}"
uniqlo,uniqlo:57892:107542:107546:122737,WOMEN > Special Collaborations > UNIQLO : C > Pre Launch,R,혼합·검토,REVIEW,1,UNISEX|WOMEN,E491119,스웨트하프집풀오버,유니클로 collection/category leaf만으로 비교 축을 확정할 수 없음,,"{""category"": ""107546"", ""class"": ""107542"", ""gender"": ""57892"", ""subcategory"": ""122737""}","{""category"": ""uniqlo c"", ""class"": ""special collaboration"", ""gender"": ""women"", ""subcategory"": ""pre launch""}"
uniqlo,uniqlo:57892:107542:143065:143068,WOMEN > Special Collaborations > UNIQLO and Cecilie Bahnsen > Dresses,E,원피스·점프수트·커버올,COMPARABLE,1,WOMEN,E488216,셔링원피스(슬리브리스),유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""143065"", ""class"": ""107542"", ""gender"": ""57892"", ""subcategory"": ""143068""}","{""category"": ""uniqlo and cecilie bahnsen"", ""class"": ""special collaboration"", ""gender"": ""women"", ""subcategory"": ""dresses""}"
uniqlo,uniqlo:57892:124424:124427:124436,WOMEN > GU > 상의 > 스웨트,A,일반 상의,COMPARABLE,2,WOMEN,E486703|E486706,GU퍼프스웨트풀집후디|GU루프얀풀집후디,유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""124427"", ""class"": ""124424"", ""gender"": ""57892"", ""subcategory"": ""124436""}","{""category"": ""tops"", ""class"": ""gu"", ""gender"": ""women"", ""subcategory"": ""sweat""}"
uniqlo,uniqlo:57892:124424:124427:124437,WOMEN > GU > 상의 > 셔츠,A,일반 상의,COMPARABLE,2,WOMEN,E487303|E493710,GU플라워프린트캐미솔튜닉|GU보타이체크블라우스,유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""124427"", ""class"": ""124424"", ""gender"": ""57892"", ""subcategory"": ""124437""}","{""category"": ""tops"", ""class"": ""gu"", ""gender"": ""women"", ""subcategory"": ""shirts""}"
uniqlo,uniqlo:57892:124424:124428:124440,WOMEN > GU > 원피스 & 스커트 > 스커트,E,원피스·점프수트·커버올,COMPARABLE,2,WOMEN,E486691|E486695,GU사이드플리츠스코츠|GU티어드스코츠,유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""124428"", ""class"": ""124424"", ""gender"": ""57892"", ""subcategory"": ""124440""}","{""category"": ""dresses and skirts"", ""class"": ""gu"", ""gender"": ""women"", ""subcategory"": ""skirts""}"
uniqlo,uniqlo:57892:124424:124429:124442,WOMEN > GU > 팬츠 > 팬츠,C,팬츠·쇼츠·레깅스,COMPARABLE,1,WOMEN,E486683,GU퍼프스웨트배기팬츠,유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""124429"", ""class"": ""124424"", ""gender"": ""57892"", ""subcategory"": ""124442""}","{""category"": ""bottoms"", ""class"": ""gu"", ""gender"": ""women"", ""subcategory"": ""pants""}"
uniqlo,uniqlo:57892:148314:148318:148328,WOMEN > 라운지 & 언더웨어 컬렉션 > Minimalist Classics > 언더웨어(보이),F,이너웨어·홈웨어,COMPARABLE,1,WOMEN,E488668,울트라스트레치드라이쇼츠(보이),유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""148318"", ""class"": ""148314"", ""gender"": ""57892"", ""subcategory"": ""148328""}","{""category"": ""minimalist classics"", ""class"": ""lounge and underwear collection"", ""gender"": ""women"", ""subcategory"": ""boyshorts""}"
uniqlo,uniqlo:57892:148314:148319:148324,WOMEN > 라운지 & 언더웨어 컬렉션 > Effortless Charm > 힙허거,F,이너웨어·홈웨어,COMPARABLE,1,WOMEN,E487064,코튼저지쇼츠(힙허거)플라워A,유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""148319"", ""class"": ""148314"", ""gender"": ""57892"", ""subcategory"": ""148324""}","{""category"": ""effortless charm"", ""class"": ""lounge and underwear collection"", ""gender"": ""women"", ""subcategory"": ""hiphugger""}"
uniqlo,uniqlo:57892:148314:148319:148358,WOMEN > 라운지 & 언더웨어 컬렉션 > Effortless Charm > 저스트 웨이스트,F,이너웨어·홈웨어,COMPARABLE,2,WOMEN,E487032|E487034,코튼저지쇼츠(저스트웨이스트)플라워C|코튼저지쇼츠(저스트웨이스트)플라워D,유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""148319"", ""class"": ""148314"", ""gender"": ""57892"", ""subcategory"": ""148358""}","{""category"": ""effortless charm"", ""class"": ""lounge and underwear collection"", ""gender"": ""women"", ""subcategory"": ""just waist""}"
uniqlo,uniqlo:57892:148314:148319:148359,WOMEN > 라운지 & 언더웨어 컬렉션 > Effortless Charm > 미들 웨이스트,F,이너웨어·홈웨어,COMPARABLE,2,WOMEN,E487042|E487050,코튼저지쇼츠(미들웨이스트)스트라이프|코튼저지쇼츠(미들웨이스트)원포인트,유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""148319"", ""class"": ""148314"", ""gender"": ""57892"", ""subcategory"": ""148359""}","{""category"": ""effortless charm"", ""class"": ""lounge and underwear collection"", ""gender"": ""women"", ""subcategory"": ""bikini""}"
uniqlo,uniqlo:57892:57958:57991:58119,WOMEN > 아우터 > 파카 & 블루종 > 파카,B,아우터,COMPARABLE,1,WOMEN,E487396,유틸리티코튼블렌드파카,유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""57991"", ""class"": ""57958"", ""gender"": ""57892"", ""subcategory"": ""58119""}","{""category"": ""parkas and blousons"", ""class"": ""outerwear"", ""gender"": ""women"", ""subcategory"": ""parka""}"
uniqlo,uniqlo:57892:57958:57991:98251,WOMEN > 아우터 > 파카 & 블루종 > 포켓터블,B,아우터,COMPARABLE,2,WOMEN,E474175|E481599,포켓터블UV PROTECTION파카|포켓터블UV PROTECTION파카(패턴),유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""57991"", ""class"": ""57958"", ""gender"": ""57892"", ""subcategory"": ""98251""}","{""category"": ""parkas and blousons"", ""class"": ""outerwear"", ""gender"": ""women"", ""subcategory"": ""pocketable""}"
uniqlo,uniqlo:57892:57958:57991:98252,WOMEN > 아우터 > 파카 & 블루종 > 후리스,B,아우터,COMPARABLE,1,WOMEN,E449753,플러피얀후리스풀집재킷,유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""57991"", ""class"": ""57958"", ""gender"": ""57892"", ""subcategory"": ""98252""}","{""category"": ""parkas and blousons"", ""class"": ""outerwear"", ""gender"": ""women"", ""subcategory"": ""fleece""}"
uniqlo,uniqlo:57892:57958:57991:98253,WOMEN > 아우터 > 파카 & 블루종 > 재킷 & 블루종,B,아우터,COMPARABLE,8,UNISEX|WOMEN,E483807|E484664|E487516|E487517|E487832,유틸리티쇼트재킷|유틸리티쇼트재킷(데님)|집업쇼트재킷|후리스스탠드블루종|윈드블럭스탠드블루종,유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""57991"", ""class"": ""57958"", ""gender"": ""57892"", ""subcategory"": ""98253""}","{""category"": ""parkas and blousons"", ""class"": ""outerwear"", ""gender"": ""women"", ""subcategory"": ""jacket""}"
uniqlo,uniqlo:57892:57958:57993:58125,WOMEN > 아우터 > 재킷 > 캐주얼 재킷,B,아우터,COMPARABLE,2,WOMEN,E487518|E489026,패디드유틸리티쇼트재킷|패디드유틸리티쇼트재킷(패턴),유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""57993"", ""class"": ""57958"", ""gender"": ""57892"", ""subcategory"": ""58125""}","{""category"": ""jackets"", ""class"": ""outerwear"", ""gender"": ""women"", ""subcategory"": ""casual""}"
uniqlo,uniqlo:57892:57958:57993:94952,WOMEN > 아우터 > 재킷 > 재킷,B,아우터,COMPARABLE,2,WOMEN,E488652|E489025,테일러드재킷(릴랙스핏)|테일러드재킷(릴랙스핏)패턴,유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""57993"", ""class"": ""57958"", ""gender"": ""57892"", ""subcategory"": ""94952""}","{""category"": ""jackets"", ""class"": ""outerwear"", ""gender"": ""women"", ""subcategory"": ""jacket""}"
uniqlo,uniqlo:57892:57958:57994:58130,WOMEN > 아우터 > 경량 패딩 (PUFFTECH) > 퍼프테크,B,아우터,COMPARABLE,4,WOMEN,E469863|E469871|E487404|E492040,PUFFTECH컴팩트베스트|PUFFTECH파카|PUFFTECH컴팩트재킷|수납파우치(PUFFTECH),유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""57994"", ""class"": ""57958"", ""gender"": ""57892"", ""subcategory"": ""58130""}","{""category"": ""pufftech and ultra light down"", ""class"": ""outerwear"", ""gender"": ""women"", ""subcategory"": ""pufftech""}"
uniqlo,uniqlo:57892:57958:57994:58132,WOMEN > 아우터 > 경량 패딩 (PUFFTECH) > 재킷,B,아우터,COMPARABLE,1,WOMEN,E487408,PUFFTECH재킷,유니클로 category/subcategory의 명시적 의류 종류,,"{""category"": ""57994"", ""class"": ""57958"", ""gender"": ""57892"", ""subcategory"": ""58132""}","{""category"": ""pufftech and ultra light down"", ""class"": ""outerwear"", ""gender"": ""women"", ""subcategory"": ""jacket""}"
