쇼핑몰,성별 또는 섹션,categoryDepth1 이름,categoryDepth1 ID,categoryDepth2 이름,categoryDepth2 ID,categoryDepth3 이름,categoryDepth3 ID,categoryDepth4 이름,categoryDepth4 ID,원본 카테고리 전체 경로,카테고리 정보 출처,고유 상품 수,FitMatch 대분류 후보,FitMatch 상세분류 후보,매핑 확실성,매핑 근거,여러 의류 유형 혼합,성별에 따른 동명 중복,실질적 동일 카테고리 여부
무신사,남성,상의,001,민소매 티셔츠,001011,"","","","",상의 / 민소매 티셔츠,https://goods-detail.musinsa.com/api2/goods/6534177,1,상의,민소매,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,상의,001,긴소매 티셔츠,001010,"","","","",상의 / 긴소매 티셔츠,https://goods-detail.musinsa.com/api2/goods/6656593,2,상의,긴팔,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,상의,001,니트/스웨터,001006,"","","","",상의 / 니트/스웨터,https://goods-detail.musinsa.com/api2/goods/6590780,1,상의,니트|기타,검토 필요,니트 enum은 존재하지만 현재 canonical resolver가 원본 니트 경로를 detail knit로 확정하지 않아 검토 필요,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,상의,001,기타 상의,001008,"","","","",상의 / 기타 상의,https://goods-detail.musinsa.com/api2/goods/6786576,1,상의,기타,검토 필요,기타 상의 경로는 세부 유형을 확정할 근거가 부족함,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,아우터,002,후드 집업,002022,"","","","",아우터 / 후드 집업,https://goods-detail.musinsa.com/api2/goods/4513309,6,아우터,점퍼,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,아우터,002,카디건,002020,"","","","",아우터 / 카디건,https://goods-detail.musinsa.com/api2/goods/6499914,19,아우터,가디건,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,아우터,002,트레이닝 재킷,002018,"","","","",아우터 / 트레이닝 재킷,https://goods-detail.musinsa.com/api2/goods/4336062,2,아우터,재킷,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,아우터,002,나일론/코치 재킷,002006,"","","","",아우터 / 나일론/코치 재킷,https://goods-detail.musinsa.com/api2/goods/4652853,3,아우터,바람막이,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,아우터,002,나일론/코치 재킷,002006,"","","","",아우터 / 나일론/코치 재킷,https://goods-detail.musinsa.com/api2/goods/4719977,6,아우터,바람막이,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성|여성,아우터,002,나일론/코치 재킷,002006,"","","","",아우터 / 나일론/코치 재킷,https://goods-detail.musinsa.com/api2/goods/6005543,4,아우터,바람막이,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,아우터,002,슈트/블레이저 재킷,002003,"","","","",아우터 / 슈트/블레이저 재킷,https://goods-detail.musinsa.com/api2/goods/2398609,4,아우터,블레이저,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,아우터,002,기타 아우터,002015,"","","","",아우터 / 기타 아우터,https://goods-detail.musinsa.com/api2/goods/4821229,1,아우터,기타,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성|여성,아우터,002,기타 아우터,002015,"","","","",아우터 / 기타 아우터,https://goods-detail.musinsa.com/api2/goods/6284785,1,아우터,기타,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,아우터,002,슈트/블레이저 재킷,002003,"","","","",아우터 / 슈트/블레이저 재킷,https://goods-detail.musinsa.com/api2/goods/2444810,5,아우터,블레이저,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,아우터,002,후드 집업,002022,"","","","",아우터 / 후드 집업,https://goods-detail.musinsa.com/api2/goods/6721671,1,아우터,점퍼,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,아우터,002,카디건,002020,"","","","",아우터 / 카디건,https://goods-detail.musinsa.com/api2/goods/5178636,3,아우터,가디건,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성|여성,아우터,002,후드 집업,002022,"","","","",아우터 / 후드 집업,https://goods-detail.musinsa.com/api2/goods/5329361,1,아우터,점퍼,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,스포츠/레저,017,아우터,017018,나일론/코치 재킷,017018003,"","",스포츠/레저 / 아우터 / 나일론/코치 재킷,https://goods-detail.musinsa.com/api2/goods/6670811,1,아우터,바람막이,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,아우터,002,경량 패딩/패딩 베스트,002027,경량 패딩,002027001,"","",아우터 / 경량 패딩/패딩 베스트 / 경량 패딩,https://goods-detail.musinsa.com/api2/goods/5479465,1,아우터,경량패딩,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성|여성,아우터,002,트레이닝 재킷,002018,"","","","",아우터 / 트레이닝 재킷,https://goods-detail.musinsa.com/api2/goods/6271693,1,아우터,재킷,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,아우터,002,경량 패딩/패딩 베스트,002027,경량 패딩,002027001,"","",아우터 / 경량 패딩/패딩 베스트 / 경량 패딩,https://goods-detail.musinsa.com/api2/goods/5894308,1,아우터,경량패딩,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,바지,003,데님 팬츠,003002,"","","","",바지 / 데님 팬츠,https://goods-detail.musinsa.com/api2/goods/6719352,7,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성|여성,바지,003,코튼 팬츠,003007,"","","","",바지 / 코튼 팬츠,https://goods-detail.musinsa.com/api2/goods/6609200,3,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성|여성,바지,003,슈트 팬츠/슬랙스,003008,"","","","",바지 / 슈트 팬츠/슬랙스,https://goods-detail.musinsa.com/api2/goods/2578996,2,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,바지,003,기타 하의,003006,"","","","",바지 / 기타 하의,https://goods-detail.musinsa.com/api2/goods/6829724,4,하의,기타,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,바지,003,코튼 팬츠,003007,"","","","",바지 / 코튼 팬츠,https://goods-detail.musinsa.com/api2/goods/6461382,8,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,바지,003,트레이닝/조거 팬츠,003004,"","","","",바지 / 트레이닝/조거 팬츠,https://goods-detail.musinsa.com/api2/goods/5987009,7,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,바지,003,데님 팬츠,003002,"","","","",바지 / 데님 팬츠,https://goods-detail.musinsa.com/api2/goods/2796118,5,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,바지,003,슈트 팬츠/슬랙스,003008,"","","","",바지 / 슈트 팬츠/슬랙스,https://goods-detail.musinsa.com/api2/goods/750908,9,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,바지,003,숏 팬츠,003009,"","","","",바지 / 숏 팬츠,https://goods-detail.musinsa.com/api2/goods/6656659,6,하의,반바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,바지,003,숏 팬츠,003009,"","","","",바지 / 숏 팬츠,https://goods-detail.musinsa.com/api2/goods/6786592,2,하의,반바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,스포츠/레저,017,하의,017020,기타 바지,017020001,"","",스포츠/레저 / 하의 / 기타 바지,https://goods-detail.musinsa.com/api2/goods/6729526,1,하의,기타,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성|여성,스포츠/레저,017,하의,017020,기타 바지,017020001,"","",스포츠/레저 / 하의 / 기타 바지,https://goods-detail.musinsa.com/api2/goods/6679899,1,하의,기타,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,바지,003,트레이닝/조거 팬츠,003004,"","","","",바지 / 트레이닝/조거 팬츠,https://goods-detail.musinsa.com/api2/goods/4702364,2,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성,스포츠/레저,017,하의,017020,숏팬츠,017020002,"","",스포츠/레저 / 하의 / 숏팬츠,https://goods-detail.musinsa.com/api2/goods/6809660,1,하의,반바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,바지,003,코튼 팬츠,003007,"","","","",바지 / 코튼 팬츠,https://goods-detail.musinsa.com/api2/goods/6373202,1,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,남성|여성,바지,003,기타 하의,003006,"","","","",바지 / 기타 하의,https://goods-detail.musinsa.com/api2/goods/6152463,1,하의,기타,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,원피스/스커트,100,미니원피스,100001,"","","","",원피스/스커트 / 미니원피스,https://goods-detail.musinsa.com/api2/goods/6696985,6,원피스,원피스,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,원피스/스커트,100,미디스커트,100005,"","","","",원피스/스커트 / 미디스커트,https://goods-detail.musinsa.com/api2/goods/6515986,3,하의,스커트,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,원피스/스커트,100,미디원피스,100002,"","","","",원피스/스커트 / 미디원피스,https://goods-detail.musinsa.com/api2/goods/6786600,3,원피스,원피스,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,원피스/스커트,100,맥시원피스,100003,"","","","",원피스/스커트 / 맥시원피스,https://goods-detail.musinsa.com/api2/goods/6458570,4,원피스,원피스,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,원피스/스커트,100,미니스커트,100004,"","","","",원피스/스커트 / 미니스커트,https://goods-detail.musinsa.com/api2/goods/6721706,3,하의,스커트,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
무신사,여성,원피스/스커트,100,롱스커트,100006,"","","","",원피스/스커트 / 롱스커트,https://goods-detail.musinsa.com/api2/goods/6305730,1,하의,스커트,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보,아니오,확인할 수 없음,확인할 수 없음
유니클로,여성,women,"",tops,"",t-shirts,"","","",/kr/ko/women/tops/t-shirts,카테고리 URL 경로,35,상의,민소매|반팔|긴팔|기타,검토 필요,URL 기반 광범위 카테고리로 여러 세부 의류 유형이 혼합될 수 있어 상품별 canonical 분류 필요,아니오,확인할 수 없음,확인할 수 없음
유니클로,여성,men,"",outerwear,"","","","","",/kr/ko/men/outerwear,카테고리 URL 경로,25,아우터,점퍼|재킷|코트|패딩|가디건|베스트|기타,검토 필요,URL 기반 광범위 카테고리로 여러 세부 의류 유형이 혼합될 수 있어 상품별 canonical 분류 필요,아니오,확인할 수 없음,확인할 수 없음
유니클로,여성,men,"",bottoms,"","","","","",/kr/ko/men/bottoms,카테고리 URL 경로,15,하의,긴바지|반바지|스커트|레깅스|기타,검토 필요,URL 기반 광범위 카테고리로 여러 세부 의류 유형이 혼합될 수 있어 상품별 canonical 분류 필요,아니오,확인할 수 없음,확인할 수 없음
유니클로,여성,women,"",bottoms,"","","","","",/kr/ko/women/bottoms,카테고리 URL 경로,15,하의,긴바지|반바지|스커트|레깅스|기타,검토 필요,URL 기반 광범위 카테고리로 여러 세부 의류 유형이 혼합될 수 있어 상품별 canonical 분류 필요,아니오,확인할 수 없음,확인할 수 없음
유니클로,여성,women,"",dress-and-skirts,"","","","","",/kr/ko/women/dress-and-skirts,카테고리 URL 경로,10,원피스|하의,원피스|스커트|기타,검토 필요,URL 기반 광범위 카테고리로 여러 세부 의류 유형이 혼합될 수 있어 상품별 canonical 분류 필요,아니오,확인할 수 없음,확인할 수 없음
