쇼핑몰,원본 카테고리 경로,FitMatch 대분류 후보,FitMatch 상세분류 후보,확정 여부,예외와 충돌 사례
무신사,바지 / 코튼 팬츠,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,바지 / 트레이닝/조거 팬츠,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,바지 / 데님 팬츠,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,바지 / 슈트 팬츠/슬랙스,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,바지 / 숏 팬츠,하의,반바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,바지 / 숏 팬츠,하의,반바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,스포츠/레저 / 하의 / 기타 바지,하의,기타,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,스포츠/레저 / 하의 / 기타 바지,하의,기타,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,바지 / 트레이닝/조거 팬츠,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,스포츠/레저 / 하의 / 숏팬츠,하의,반바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,바지 / 코튼 팬츠,하의,긴바지,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,바지 / 기타 하의,하의,기타,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,원피스/스커트 / 미니원피스,원피스,원피스,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,원피스/스커트 / 미디스커트,하의,스커트,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,원피스/스커트 / 미디원피스,원피스,원피스,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,원피스/스커트 / 맥시원피스,원피스,원피스,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,원피스/스커트 / 미니스커트,하의,스커트,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
무신사,원피스/스커트 / 롱스커트,하의,스커트,확정 가능,실제 ClothingCategory/ClosetDetailCategory enum과 ParsedClosetClassification 원본 경로 규칙에 일치하는 매핑 후보
유니클로,/kr/ko/women/tops/t-shirts,상의,민소매|반팔|긴팔|기타,검토 필요,URL 기반 광범위 카테고리로 여러 세부 의류 유형이 혼합될 수 있어 상품별 canonical 분류 필요
유니클로,/kr/ko/men/outerwear,아우터,점퍼|재킷|코트|패딩|가디건|베스트|기타,검토 필요,URL 기반 광범위 카테고리로 여러 세부 의류 유형이 혼합될 수 있어 상품별 canonical 분류 필요
유니클로,/kr/ko/men/bottoms,하의,긴바지|반바지|스커트|레깅스|기타,검토 필요,URL 기반 광범위 카테고리로 여러 세부 의류 유형이 혼합될 수 있어 상품별 canonical 분류 필요
유니클로,/kr/ko/women/bottoms,하의,긴바지|반바지|스커트|레깅스|기타,검토 필요,URL 기반 광범위 카테고리로 여러 세부 의류 유형이 혼합될 수 있어 상품별 canonical 분류 필요
유니클로,/kr/ko/women/dress-and-skirts,원피스|하의,원피스|스커트|기타,검토 필요,URL 기반 광범위 카테고리로 여러 세부 의류 유형이 혼합될 수 있어 상품별 canonical 분류 필요
